Category,Title
Acquisition,indie Semiconductor Enters Definitive Agreement to Acquire Analog Devices' Symeo Radar Division
Misc,"Virtuoso Acquisition Corp. Announces Effectiveness of Registration Statement and Date for Special Meeting to Approve Proposed Business Combination with Wejo, to be Held on November 16, 2021"
Acquisition,"Dawson Geophysical Announces Merger Agreement With Wilks Brothers, LLC"
Acquisition,Hydrofarm Signs Agreement to Acquire Innovative Growers Equipment; Announces Preliminary 3Q21 Financial Results and Provides Updated Full Year 2021 Outlook
Acquisition,Crestwood to Acquire Oasis Midstream Partners in $1.8 Billion Transaction
Acquisition,Oasis Petroleum Inc. Announces Oasis Midstream Partners to Merge with Crestwood Equity Partners
Acquisition,UP Fintech Holding Limited Receives Approval from SFC of Acquisition of Ocean Joy Securities Limited
Acquisition,Sleep Country Canada Closes Acquisition of Hush Blankets
Acquisition,Artis REIT Announces Participation in Investor Group to Acquire Cominar REIT in All-Cash Transaction
Acquisition,"Canderel-Led Consortium Agrees to Acquire Cominar for $5.7B, $11.75 Per Unit, in an All-Cash Transaction; Mach to Acquire $1.5B of Properties as Part of the Transaction"
Acquisition,Park Lawn Corporation Completes Acquisition of Pugh Funeral Homes and New Hope Memorial Gardens
Acquisition,Globex Acquires Royalty on Large Quebec Land Package
Acquisition,B2Gold Agrees to Sell Burkina Faso Projects to West African Resources
Acquisition,West Fraser to Acquire U.S. South OSB Mill
Acquisition,Neighbourly Announces Agreement to Acquire Five Pharmacies
Acquisition,TFI International Acquires Fleetway Transport Inc.
Acquisition,"Aberdeen International Diversifies Into Clean Energy Investments With Agreement to Acquire a Significant Interest in AES-100 Inc., the World's Only Technology Capable of Producing High Purity Green Hydrogen at <$5/kg led by Pinakin Patel, one of the top Scientists in Clean Hydrogen Technology"
Acquisition,"Solitario Expands Its Exploration Activities to Include Precious Metals; Acquires Gold Coin Property in Arizona; and, Establishes ATM Equity Program"
Acquisition,Washington's King County Metro acquires 20 additional New Flyer sixty-foot battery-electric Xcelsior CHARGE(TM) buses
Acquisition,Brookfield Infrastructure Announces Sale of North American District Energy Business for $4.1 Billion
Acquisition,Boralex Announces Closing of the Acquisition of Interests in Seven Solar Plants in the United States
Acquisition,LEAF Completes $159 Million Acquisition of East Side Games Inc.
Acquisition,Dundee Corporation Announces Acquisition of Shares and Options of Big River Gold Limited
Acquisition,Janes Acquisition Corp. Increases Offer Price for Units of SIR Royalty and Reminds Unitholders of Deadline to Tender Units
Acquisition,Aegis Brands Announces Sale of Second Cup Coffee Co. to Foodtastic
Acquisition,WELL Health Announces Major Expansion into U.S. Market with Proposed Acquisition of CRH Medical and Concurrent C$295.5M Equity Offering Led by Mr. Li Ka-Shing at a 25% Premium to Market
Acquisition,Evertz Announces Closing of Previously Announced Acquisition of Studer's Strategic Assets
Acquisition,Interfor to Acquire South Carolina Sawmill from WestRock
Acquisition,Brookfield Infrastructure Announces Intention to Acquire Inter Pipeline Ltd. for C$16.50 per Share in a Transaction Valued at C$13.5 Billion
Acquisition,Endeavour Completes Teranga Acquisition to Create New Senior Gold Producer
Acquisition,"Silver Elephant Completes Acquisition of Minago Nickel Sulphide Project in Thompson Nickel Belt Manitoba, Canada"
Acquisition,"Neptune Acquires Controlling Interest in Sprout Foods, a Fast-Growing 3-Brand Portfolio, in Landmark Transaction"
Acquisition,Superior Plus Continues Growth Strategy with Two Canadian Propane Acquisitions
Acquisition,"Aberdeen International Closes Transaction to Acquire a 41.67% Interest in AES-100 Inc., the World's Only Technology Capable of Producing High Purity Green Hydrogen at <$5/kg Led by Pinakin Patel, One of the Top Scientists in Clean Hydrogen Technology"
Acquisition,"Converge Technology Solutions Corp. Acquires Accudata Systems, Inc., a Leading Texas-based IT Solutions Provider"
Acquisition,Barrick Reaches Agreement to Sell the Lagunas Norte Mine
Acquisition,HEXO Corp. to acquire Zenabis Global Inc.
Acquisition,Blackline Safety Diversifies Connected Portfolio Through Acquisition of UK-based Wearable Technologies Ltd.
Acquisition,"Stantec signs agreement to acquire Australia-Based GTA Consultants, enhancing transportation planning, advisory, and design capabilities"
Acquisition,"Volaris Group, a Constellation Software Company, Completes Acquisition of SSP Limited"
Acquisition,"Peyto Reports Year End Reserves, Strategic Acquisitions and 48% Increase in Capital Budget"
Acquisition,Crescent Point Announces Accretive Acquisition of Kaybob Duvernay Assets for $900 Million and Enhanced Free Cash Flow
Acquisition,Avalon Announces Agreement to Acquire the Right to Title of a Closed Mine Site with Rare Earths Recovery Potential
Acquisition,Whitecap and TORC Announce Shareholder and Court Approval of Strategic Combination
Acquisition,Brookfield Infrastructure Commences Cash and Share Offer to Acquire Inter Pipeline Ltd.
Acquisition,Xebec Completes Acquisition of Inmatec
Acquisition,"TC Energy affirms 0.70 share-for-unit exchange ratio in definitive agreement to acquire all outstanding common units of TC PipeLines, LP"
Acquisition,Gran Colombia Announces Acquisition of Approximately 36% Equity Interest in Denarius Silver Corp.
Acquisition,WSP Acquires Earth Consulting Group and Broadens Its Environmental Consulting Expertise in the United States
Acquisition,Andlauer Healthcare Group Announces Agreements to Acquire 100% of Skelton Canada and 49% of Skelton USA
Acquisition,Acquisition of Common Shares of TRU Precious Metals Corp. by Altius Resources Inc.
Acquisition,Andrew Peller Limited Announces Acquisition of Niagara's the Riverbend Inn
Acquisition,"Parkland announces acquisition of Conrad & Bischoff Inc., establishing a new growth platform in the Pacific Northwest"
Misc,Thimble Point Acquisition Corp. Announces Pricing of Upsized $240 Million Initial Public Offering
Acquisition,CDK Global Acquires Square Root
